"","Date.Time","TMP_T0","pH_T0","TMP_T4","pH_T4","TMP_T6","pH_T6","TMP_T5","pH_T5","TMP_T1","pH_T1","TMP_T7","pH_T7","TMP_T3","pH_T3","TMP_T2","pH_T2"
"4",2019-03-25 00:00:00,"12.1","7.94","12.3","3.68","12.6","3.70","12.3","3.62","12.2","7.91","12.4","3.68","12.2","7.79","12.1","7.87"
"5",2019-03-25 00:10:00,"12.1","7.94","12.3","3.68","12.6","3.70","12.3","3.62","12.2","7.91","12.4","3.68","12.2","7.79","12.1","7.87"
"6",2019-03-25 00:20:00,"12.1","7.94","12.3","3.68","12.6","3.70","12.3","3.62","12.2","7.91","12.4","3.68","12.2","7.79","12.1","7.87"
"7",2019-03-25 00:30:00,"12.1","7.94","12.3","3.68","12.6","3.70","12.3","3.62","12.2","7.91","12.4","3.68","12.2","7.79","12.1","7.87"
"8",2019-03-25 00:40:00,"12.1","7.94","12.3","3.69","12.6","3.70","12.3","3.62","12.2","7.91","12.4","3.68","12.2","7.79","12.1","7.87"
"9",2019-03-25 00:50:00,"12.1","7.94","12.3","3.69","12.6","3.70","12.3","3.62","12.2","7.91","12.4","3.68","12.2","7.79","12.1","7.87"
"10",2019-03-25 01:00:00,"12.1","7.94","12.3","3.69","12.6","3.70","12.3","3.62","12.2","7.91","12.4","3.69","12.2","7.79","12.1","7.87"
"11",2019-03-25 01:10:00,"12.1","7.94","12.3","3.69","12.6","3.70","12.2","3.62","12.2","7.91","12.3","3.68","12.2","7.79","12.1","7.87"
"12",2019-03-25 01:20:00,"12.1","7.94","12.3","3.69","12.5","3.70","12.2","3.62","12.2","7.91","12.3","3.69","12.2","7.79","12.1","7.87"
"13",2019-03-25 01:30:00,"12.1","7.94","12.2","3.69","12.5","3.70","12.2","3.63","12.2","7.91","12.3","3.69","12.2","7.79","12.1","7.87"
"14",2019-03-25 01:40:00,"12.1","7.94","12.2","3.69","12.5","3.70","12.2","3.63","12.2","7.91","12.3","3.69","12.2","7.79","12.1","7.87"
"15",2019-03-25 01:50:00,"12.1","7.94","12.2","3.69","12.5","3.71","12.2","3.63","12.2","7.91","12.2","3.69","12.2","7.79","12.1","7.87"
"16",2019-03-25 02:00:00,"12.1","7.94","12.2","3.69","12.4","3.71","12.1","3.63","12.2","7.91","12.2","3.69","12.2","7.79","12.1","7.87"
"17",2019-03-25 02:10:00,"12.1","7.94","12.2","3.69","12.4","3.71","12.1","3.63","12.2","7.91","12.2","3.69","12.2","7.79","12.1","7.87"
"18",2019-03-25 02:20:00,"12.1","7.94","12.2","3.69","12.4","3.71","12.1","3.63","12.2","7.91","12.2","3.69","12.2","7.79","12.1","7.87"
"19",2019-03-25 02:30:00,"12.1","7.92","12.2","3.69","12.4","3.71","12.1","3.63","12.2","7.91","12.2","3.69","12.2","7.79","12.1","7.87"
"20",2019-03-25 02:40:00,"12.1","7.92","12.1","3.69","12.3","3.71","12.1","3.63","12.2","7.91","12.2","3.69","12.2","7.79","12.1","7.87"
"21",2019-03-25 02:50:00,"12.1","7.92","12.1","3.69","12.3","3.71","12.1","3.63","12.2","7.91","12.2","3.69","12.2","7.79","12.1","7.87"
"22",2019-03-25 03:00:00,"12.1","7.92","12.1","3.69","12.3","3.71","12.1","3.63","12.2","7.91","12.2","3.69","12.2","7.79","12.1","7.87"
"23",2019-03-25 03:10:00,"12.1","7.92","12.1","3.69","12.3","3.71","12.0","3.63","12.2","7.91","12.1","3.69","12.2","7.79","12.1","7.87"
"24",2019-03-25 03:20:00,"12.1","7.92","12.1","3.69","12.3","3.71","12.0","3.63","12.2","7.91","12.1","3.69","12.2","7.79","12.1","7.86"
"25",2019-03-25 03:30:00,"12.1","7.92","12.0","3.69","12.2","3.71","12.0","3.63","12.2","7.91","12.1","3.69","12.2","7.79","12.1","7.86"
"26",2019-03-25 03:40:00,"12.1","7.92","12.0","3.69","12.2","3.71","12.0","3.63","12.2","7.91","12.1","3.69","12.2","7.79","12.1","7.87"
"27",2019-03-25 03:50:00,"12.1","7.92","12.0","3.69","12.2","3.71","12.0","3.63","12.2","7.91","12.1","3.69","12.2","7.79","12.1","7.86"
"28",2019-03-25 04:00:00,"12.1","7.92","12.0","3.69","12.2","3.71","12.0","3.63","12.2","7.91","12.1","3.69","12.2","7.79","12.1","7.86"
"29",2019-03-25 04:10:00,"12.1","7.92","12.0","3.69","12.2","3.71","11.9","3.63","12.2","7.91","12.1","3.69","12.2","7.79","12.1","7.86"
"30",2019-03-25 04:20:00,"12.1","7.92","12.0","3.69","12.2","3.71","11.9","3.63","12.2","7.90","12.0","3.69","12.2","7.79","12.1","7.86"
"31",2019-03-25 04:30:00,"12.1","7.92","12.0","3.69","12.2","3.71","11.9","3.63","12.2","7.90","12.0","3.69","12.2","7.79","12.1","7.86"
"32",2019-03-25 04:40:00,"12.1","7.92","12.0","3.69","12.1","3.71","11.8","3.63","12.2","7.90","12.0","3.69","12.2","7.79","12.1","7.86"
"33",2019-03-25 04:50:00,"12.1","7.92","11.9","3.69","12.1","3.71","11.8","3.63","12.2","7.90","12.0","3.69","12.2","7.79","12.1","7.86"
"34",2019-03-25 05:00:00,"12.1","7.92","11.9","3.69","12.1","3.71","11.8","3.63","12.2","7.90","11.9","3.69","12.2","7.79","12.2","7.86"
"35",2019-03-25 05:10:00,"12.1","7.92","11.8","3.69","12.1","3.71","11.8","3.63","12.2","7.90","11.9","3.69","12.2","7.79","12.1","7.86"
"36",2019-03-25 05:20:00,"12.1","7.92","11.8","3.69","12.0","3.71","11.8","3.63","12.2","7.90","11.8","3.69","12.2","7.79","12.1","7.86"
"37",2019-03-25 05:30:00,"12.1","7.92","11.8","3.69","12.0","3.72","11.7","3.63","12.2","7.90","11.8","3.69","12.2","7.79","12.1","7.86"
"38",2019-03-25 05:40:00,"12.1","7.92","11.8","3.69","12.0","3.72","11.7","3.63","12.2","7.90","11.8","3.69","12.2","7.79","12.1","7.86"
"39",2019-03-25 05:50:00,"12.1","7.92","11.8","3.69","12.0","3.71","11.7","3.63","12.2","7.90","11.8","3.69","12.2","7.79","12.1","7.86"
"40",2019-03-25 06:00:00,"12.1","7.92","11.8","3.69","12.0","3.72","11.7","3.63","12.2","7.90","11.8","3.69","12.1","7.79","12.1","7.86"
"41",2019-03-25 06:10:00,"12.1","7.92","11.8","3.69","12.0","3.72","11.7","3.63","12.2","7.90","11.8","3.69","12.2","7.79","12.1","7.86"
"42",2019-03-25 06:20:00,"12.1","7.92","11.8","3.69","12.0","3.72","11.7","3.63","12.2","7.90","11.8","3.70","12.2","7.79","12.1","7.86"
"43",2019-03-25 06:30:00,"12.1","7.92","11.8","3.69","12.0","3.72","11.7","3.63","12.2","7.90","11.8","3.70","12.2","7.79","12.1","7.86"
"44",2019-03-25 06:40:00,"12.1","7.92","11.8","3.69","12.0","3.71","11.7","3.63","12.2","7.90","11.8","3.70","12.2","7.78","12.1","7.86"
"45",2019-03-25 06:50:00,"12.1","7.92","11.8","3.69","12.0","3.72","11.7","3.63","12.2","7.90","11.8","3.70","12.2","7.78","12.1","7.86"
"46",2019-03-25 07:00:00,"12.1","7.92","11.8","3.69","12.0","3.72","11.7","3.63","12.2","7.90","11.8","3.70","12.2","7.78","12.1","7.86"
"47",2019-03-25 07:10:00,"12.1","7.92","11.7","3.69","12.0","3.72","11.6","3.63","12.2","7.90","11.8","3.70","12.2","7.78","12.1","7.86"
"48",2019-03-25 07:20:00,"12.1","7.92","11.7","3.69","12.0","3.72","11.6","3.63","12.2","7.90","11.7","3.70","12.2","7.78","12.1","7.86"
