"Sample.ID","TA","Mass"
"20190121_JUNK",2147.042133,59.4787
"20190121_CRM1",2205.441839,59.2081
"20190121_CRM2",2202.446858,59.0664
"20190121_T0",2007.502184,60.434
"20190121_T1",2002.134953,60.8781
"20190121_T2",2000.444317,60.0537
"20190121_T3",2003.556079,59.9826
"20190121_1B",2005.967559,59.7625
"20190121_2B",2000.384148,59.4236
"20190121_3B",1990.356735,60.0577
"20190121_4B",1961.112651,60.4811
"20190121_5B",2002.056744,60.9668
"20190121_6B",1992.237832,60.7604
"20190125_JUNK",2140.414825,60.6699
"20190125_CRM1",2202.252099,59.0226
"20190125_CRM2",2200.943391,59.2539
"20190124_T1",2005.933098,60.0717
"20190124_T3",2000.948457,60.9356
"20190124_T2",2010.896294,60.911
"20190124_T0",2005.917241,60.9586
"20190124_heathstack",2013.977799,60.6641
"20190125_T3",1993.328658,60.4381
"20190125_T0",1998.22163,59.9019
"20190125_T1",1996.22323,60.1942
"20190125_T2",1993.652799,60.8339
NA,NA,NA
NA,NA,NA
NA,NA,NA
"20190128_JUNK",2145.68987243586,59.538
"20190128_CRM1",2203.76000818612,59.0974
"20190128_CRM2",2200.86865422051,59.1136
"20190128_1B",2052.60556142439,60.3917
"20190128_2B",2034.63356549905,60.816
"20190128_3B",2027.11453391038,59.3404
"20190128_4B",2026.68000183048,60.4211
"20190128_5B",2046.33820931977,60.4027
"20190128_T0",2012.11006662014,59.7315
"20190128_T1",2011.18183628694,60.6507
"20190128_T2",2031.5571979603,60.3149
"20190128_T3",2027.29130112856,60.7046
"20190128_6B",2031.95838431735,60.8189
"20190127_T0",2015.29111818731,60.8327
"20190127_T1",2010.13842701881,60.7019
"20190127_T2",2010.03886496939,60.3964
"20190127_T3",1954.75722835099,60.3812
"20190126_T0",2033.34534132736,60.3873
"20190126_T1",2008.53251937287,60.5162
"20190126_T2",2013.73844108304,60.3032
"20190126_T3",2011.27335305949,60.3641
"20190201_JUNK",2142.29410711914,59.997
"20190201_CRM1",2202.17155015212,59.7003
"20190201_CRM2",2203.58579237332,59.0668
"20190203_JUNK",2146.6586737884,59.0504
"20190203_CRM1",2202.28145075733,59.1301
"20190203_CRM2",2196.57638583575,59.293
"20190203_T3",1977.64028457397,60.2807
"20190203_T2",1976.44188075577,60.1437
"20190203_T1",1975.99995528029,60.9412
"20190203_T0",1978.68596029247,60.6399
"20190202_T3",1996.88988161491,59.368
"20190202_T2",1995.05509011393,59.507
"20190202_T0",1994.72789070934,59.9845
"20190202_T1",1995.09318697742,60.9108
"20190127_T3",2020.2089686479,60.9883
"20190126_T0",2014.81562337506,60.2448
"20190131_T2",2005.84194783043,60.6424
"20190131_2B",2005.87685676022,60.5418
"20190131_T3",2005.94331045088,59.9974
"20190131_1B",2018.33674247657,60.4124
"20190131_4B",2007.72325804125,60.6286
"20190131_3B",2006.38488580585,60.6416
"20190130_T3",2016.07114934011,60.8506
"20190130_T1",2013.58066182701,60.4634
