Measurement Name :,20190205_resp_larvae_T3,,Generated On :,"05/02/2019, 18:51:24",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"05/02/2019, 18:09:28",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"05/02/2019, 18:51:16",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
05.02.19 18:09:31,0.05,288.77,290.6,289.68,289.23,287.4,287.86,288.77,284.67,289.23,290.14,285.58,289.68,291.97,290.14,291.51,280.13,294.72,296.56,294.72,282.4,299.32,297.02,293.35,284.21,,13,968,28,15.81,
05.02.19 18:09:47,0.32,288.31,290.6,290.14,288.31,287.86,287.4,288.77,283.76,289.23,290.6,286.03,288.77,291.51,289.68,291.51,278.77,293.8,296.56,293.8,281.94,300.71,297.94,293.35,287.4,,13,968,28,15.77,
05.02.19 18:10:02,0.57,287.86,290.14,288.77,287.86,286.03,287.4,288.77,284.21,288.31,290.14,285.12,287.86,291.06,288.31,289.68,278.32,292.89,296.1,292.89,281.04,301.17,297.02,291.97,286.49,,13,968,28,15.75,
05.02.19 18:10:17,0.82,286.95,289.68,288.77,287.4,285.58,287.4,288.77,282.85,287.86,288.77,285.12,289.23,290.6,289.68,291.06,279.68,293.35,295.64,293.35,281.04,299.32,297.02,290.6,285.12,,13,968,28,15.72,
05.02.19 18:10:32,1.07,286.49,288.77,289.23,287.4,286.95,287.4,288.31,284.21,288.31,290.14,285.58,288.31,290.14,289.23,290.14,278.32,293.35,294.72,292.89,281.94,298.86,297.48,291.06,284.21,,13,968,28,15.7,
05.02.19 18:10:47,1.32,286.03,288.31,288.77,286.49,285.12,286.95,288.31,283.31,288.77,290.6,285.12,287.86,289.23,289.23,290.6,278.32,293.35,294.72,294.26,281.04,298.86,296.56,291.51,284.67,,13,968,28,15.66,
05.02.19 18:11:02,1.57,285.58,287.4,288.31,286.03,286.49,286.49,287.86,282.85,288.31,289.23,284.67,287.4,290.14,288.77,290.6,276.97,292.89,295.64,292.43,280.58,297.48,294.26,292.43,282.4,,13,968,28,15.64,
05.02.19 18:11:17,1.82,284.67,287.86,287.86,286.03,285.12,286.49,288.31,282.4,287.4,288.31,284.67,286.49,289.68,289.68,290.14,278.32,291.97,295.18,292.89,280.13,297.94,297.02,291.97,284.67,,13,968,28,15.61,
05.02.19 18:11:32,2.07,285.12,288.31,287.86,285.58,284.67,286.49,288.77,281.94,288.31,290.14,285.58,286.95,288.77,288.77,289.23,277.42,291.06,294.26,291.51,279.68,296.56,294.26,291.06,281.94,,13,968,28,15.57,
05.02.19 18:11:47,2.32,283.31,286.95,286.95,284.67,285.12,286.49,287.4,281.94,286.95,289.23,284.67,286.03,289.23,288.77,290.14,276.97,291.06,292.43,291.97,279.23,297.94,295.18,291.97,281.49,,13,968,28,15.56,
05.02.19 18:12:02,2.57,282.85,286.95,287.4,285.12,283.76,286.95,286.95,281.94,286.95,289.23,284.21,286.03,287.4,288.31,289.68,277.42,291.06,293.35,290.6,280.13,296.56,294.26,288.31,283.31,,13,968,28,15.54,
05.02.19 18:12:17,2.82,282.4,286.95,286.03,283.76,283.76,286.49,286.95,281.49,286.95,288.31,284.21,285.12,288.77,288.77,288.31,275.61,290.14,293.8,291.06,278.77,294.26,293.35,289.23,279.68,,13,968,28,15.52,
05.02.19 18:12:32,3.07,282.4,285.58,286.03,284.21,283.76,285.58,286.95,281.04,286.49,288.77,284.21,285.58,288.31,287.86,289.23,275.61,290.14,293.8,291.06,277.87,295.64,293.8,289.23,280.58,,13,968,28,15.47,
05.02.19 18:12:47,3.32,282.4,285.58,285.58,282.85,283.31,284.67,286.49,281.49,286.03,288.77,283.31,285.58,286.95,287.86,288.31,276.06,289.23,293.35,290.6,279.23,293.35,293.8,287.86,281.49,,13,968,28,15.45,
05.02.19 18:13:02,3.57,281.49,285.12,285.58,282.4,281.94,284.21,286.03,280.13,286.49,288.31,283.31,285.12,286.95,286.95,288.77,276.52,288.77,292.89,291.51,277.87,294.26,291.51,288.77,281.04,,13,968,28,15.41,
05.02.19 18:13:17,3.82,281.49,284.21,285.12,282.4,281.49,285.12,286.95,280.13,286.49,288.77,282.4,284.21,286.95,286.95,286.95,275.61,288.77,292.89,289.68,278.77,294.72,293.35,288.77,279.68,,13,968,28,15.39,
05.02.19 18:13:32,4.07,280.58,284.67,284.67,281.94,282.85,285.12,285.12,279.68,286.49,288.31,283.76,283.76,287.4,287.4,286.95,275.61,288.77,292.43,290.6,278.32,291.97,292.89,289.68,279.23,,13,968,28,15.38,
05.02.19 18:13:47,4.32,281.04,284.21,285.12,282.4,281.94,285.12,286.03,280.13,286.03,287.86,282.85,284.21,287.4,287.4,287.86,275.16,289.68,291.51,291.06,278.77,293.8,293.35,287.86,280.58,,13,968,28,15.36,
05.02.19 18:14:02,4.57,280.58,284.21,284.67,281.49,280.58,284.21,285.58,280.13,285.58,287.86,282.4,283.31,287.4,287.86,286.95,274.71,286.03,292.43,289.68,276.97,291.97,291.51,288.31,277.87,,13,968,28,15.32,
05.02.19 18:14:17,4.82,280.13,283.31,284.67,281.04,281.94,283.76,284.67,280.13,285.12,286.95,282.4,283.31,286.49,286.49,286.95,274.71,289.23,290.6,289.68,277.42,291.06,291.97,286.49,281.04,,13,968,28,15.32,
05.02.19 18:14:32,5.07,280.13,284.67,284.67,281.04,281.49,284.67,285.12,278.77,285.58,287.4,281.94,282.85,286.95,285.58,287.4,273.81,286.49,291.51,291.06,276.06,292.43,291.51,287.4,279.23,,13,968,28,15.29,
05.02.19 18:14:47,5.32,279.68,282.85,283.31,280.13,281.49,283.31,284.21,278.77,284.21,286.49,281.04,281.94,285.12,285.58,286.03,274.26,287.4,290.14,289.23,276.52,290.6,290.14,286.49,277.42,,13,968,28,15.27,
05.02.19 18:15:02,5.57,279.23,283.31,282.4,280.13,280.58,283.31,284.21,279.23,285.12,286.95,281.49,282.85,285.12,284.21,286.95,274.71,286.49,290.14,287.86,276.52,291.06,291.06,286.49,279.68,,13,968,28,15.25,
05.02.19 18:15:17,5.82,278.77,281.94,283.31,280.13,280.58,283.76,284.67,278.32,284.67,286.95,281.04,281.94,285.12,285.58,286.49,273.36,288.31,289.68,289.23,276.97,288.77,293.35,285.58,278.77,,13,968,28,15.22,
05.02.19 18:15:32,6.07,278.77,283.31,282.4,280.13,279.23,283.31,285.12,278.32,284.21,286.03,281.49,282.4,284.21,285.12,285.12,273.81,286.95,291.06,288.77,276.06,289.23,290.6,284.67,278.77,,13,968,28,15.2,
05.02.19 18:15:47,6.32,278.32,282.4,282.85,279.23,280.13,283.76,284.21,278.32,283.76,286.95,281.04,281.49,285.12,286.03,285.12,273.36,286.03,290.6,287.86,275.61,289.68,290.14,286.49,279.23,,13,968,28,15.18,
05.02.19 18:16:02,6.57,277.42,281.49,282.4,279.23,279.68,283.31,283.76,278.32,283.31,286.49,281.04,282.4,284.67,284.67,285.58,273.36,286.95,290.14,286.95,274.71,290.6,290.14,284.21,277.87,,13,968,28,15.16,
05.02.19 18:16:17,6.82,277.87,282.4,282.4,278.77,279.23,283.31,282.85,277.42,283.31,285.12,280.13,281.04,283.76,285.58,284.21,272.46,287.4,289.23,287.4,275.61,289.68,290.14,285.58,275.16,,13,968,28,15.15,
05.02.19 18:16:32,7.07,277.87,281.49,281.49,278.32,279.68,282.85,283.31,276.97,283.31,286.03,280.58,281.04,284.21,284.67,284.21,273.36,286.03,289.23,287.86,273.81,288.77,290.14,285.12,276.06,,13,968,28,15.14,
05.02.19 18:16:47,7.32,277.42,281.04,281.94,277.87,278.77,283.31,282.85,277.87,283.76,285.58,279.68,280.58,284.67,284.67,284.67,272.91,284.21,287.86,288.31,274.26,287.86,290.14,285.12,276.97,,13,968,28,15.13,
05.02.19 18:17:02,7.57,276.97,281.04,281.49,277.42,277.87,283.31,282.85,276.52,282.85,284.67,278.77,280.58,284.21,284.67,284.67,272.01,285.58,288.31,286.95,275.61,289.23,286.49,284.21,275.61,,13,968,28,15.11,
05.02.19 18:17:17,7.82,276.97,281.49,281.04,277.87,278.32,281.94,282.4,276.97,283.31,285.12,279.68,280.58,283.76,284.21,285.58,272.01,286.49,288.77,286.95,275.61,289.68,287.86,285.58,277.87,,13,968,28,15.07,
05.02.19 18:17:32,8.07,276.97,281.04,281.04,277.42,278.32,281.94,281.94,276.52,282.85,284.67,278.32,280.58,282.4,283.31,283.76,271.11,283.31,288.77,287.4,276.06,286.03,288.77,284.67,276.97,,13,968,28,15.07,
05.02.19 18:17:47,8.32,276.06,280.58,280.58,276.97,277.42,281.49,281.49,276.06,281.94,285.58,278.77,280.13,282.4,283.31,283.76,271.11,283.76,288.77,286.95,273.81,287.4,289.23,284.21,277.87,,13,968,28,15.04,
05.02.19 18:18:02,8.57,276.52,280.58,280.58,277.42,277.42,282.4,281.94,276.52,281.94,284.21,278.77,280.58,282.85,283.31,283.31,272.46,283.76,288.31,286.95,273.36,286.95,288.31,283.76,275.16,,13,968,28,15.04,
05.02.19 18:18:17,8.82,275.61,280.13,280.58,276.97,276.97,281.04,281.94,275.16,281.49,283.76,278.32,279.68,282.4,282.85,283.31,271.11,282.85,287.4,285.58,273.81,288.77,289.23,283.76,276.52,,13,968,28,15.02,
05.02.19 18:18:32,9.07,275.61,280.13,279.68,276.52,277.87,281.04,281.49,275.61,281.94,283.76,278.32,279.68,282.4,282.85,284.67,272.46,283.31,287.86,286.03,272.91,285.58,286.03,282.4,276.06,,13,968,28,15,
05.02.19 18:18:47,9.32,276.06,279.23,280.13,277.42,277.42,281.49,281.94,275.16,281.94,283.76,278.32,280.13,281.94,283.31,284.67,271.56,283.76,287.86,285.58,272.46,286.95,288.31,283.76,276.06,,13,968,28,15,
05.02.19 18:19:02,9.57,275.16,279.23,279.23,276.06,276.97,281.49,280.13,275.16,281.04,283.76,277.42,277.87,281.49,281.94,282.85,271.56,281.94,287.86,286.03,273.81,286.49,288.31,282.85,275.16,,13,968,28,14.97,
05.02.19 18:19:17,9.82,275.16,279.23,279.68,276.06,276.52,280.58,280.13,275.61,282.4,282.85,276.97,279.23,281.94,282.4,282.4,270.67,285.12,286.49,285.12,272.46,285.12,286.03,280.58,275.16,,13,968,28,14.95,
05.02.19 18:19:32,10.07,275.61,279.68,280.13,276.06,276.97,281.04,281.04,275.16,281.94,284.21,277.87,278.77,281.94,283.31,282.4,270.67,282.4,288.31,285.58,272.01,286.49,287.4,282.4,274.71,,13,968,28,14.95,
05.02.19 18:19:47,10.32,275.61,278.77,279.23,276.06,276.52,280.13,280.13,274.71,281.04,282.85,276.97,278.32,281.94,282.4,283.76,270.67,282.4,287.4,284.67,271.11,285.58,287.86,280.58,273.36,,13,968,28,14.91,
05.02.19 18:20:03,10.58,274.71,277.87,278.77,275.61,276.97,280.58,280.58,274.71,281.04,282.4,277.42,278.32,280.58,282.4,282.85,271.11,282.4,286.03,285.12,271.56,286.49,285.58,283.76,274.26,,13,968,28,14.91,
05.02.19 18:20:18,10.83,275.61,279.23,279.68,275.61,275.61,281.04,280.58,275.16,281.04,282.85,276.97,277.87,281.49,282.4,282.85,270.67,282.85,287.86,286.03,272.46,287.86,287.4,281.94,272.91,,13,968,28,14.9,
05.02.19 18:20:33,11.08,274.71,278.32,278.32,275.16,276.97,280.13,279.68,273.81,281.49,282.85,275.61,278.77,281.04,281.49,282.4,270.67,281.94,285.58,285.12,270.67,285.58,284.67,280.58,274.71,,13,968,28,14.89,
