Measurement Name :,20190131_resp_embryos,,Generated On :,"01/02/2019, 00:37:58",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"31/01/2019, 22:45:45",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"01/02/2019, 00:37:48",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
31.01.19 22:45:47,0.03,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28,13.22,
31.01.19 22:46:02,0.28,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28,13.56,
31.01.19 22:46:17,0.53,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,294.36,No Sensor,No Sensor,289.44,270.84,,14,968,28,13.79,
31.01.19 22:46:32,0.78,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28,13.97,
31.01.19 22:46:47,1.03,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,305.2,293.92,292.57,,14,968,28,14.11,
31.01.19 22:47:02,1.28,307.92,306.11,308.38,306.56,290.78,286.31,284.53,284.98,280.1,279.21,277,277.89,277,274.8,278.77,267.34,275.68,276.12,277,266.03,266.47,270.41,267.34,261.24,,14,968,28,14.22,
31.01.19 22:47:17,1.53,302.03,303.38,308.83,302.93,284.98,290.78,284.53,281.87,278.33,280.54,276.56,275.24,275.24,273.92,277.45,266.47,273.92,274.8,277.45,265.16,266.03,269.97,266.9,259.94,,14,968,28,14.31,
31.01.19 22:47:32,1.78,305.2,308.38,313.86,306.56,282.31,286.31,281.43,280.54,278.33,278.33,275.68,275.68,274.36,273.48,276.56,266.03,271.72,274.36,276.12,264.72,264.72,268.65,264.72,259.94,,14,968,28,14.36,
31.01.19 22:47:48,2.05,304.74,303.38,308.83,298.86,282.31,283.65,283.65,280.98,276.12,277.45,274.36,273.48,273.04,272.6,274.8,264.72,270.41,273.48,275.24,262.98,264.29,267.34,265.16,258.2,,14,968,28,14.4,
31.01.19 22:48:03,2.3,305.2,303.38,314.32,296.61,278.33,284.09,284.09,278.33,277.45,278.33,273.92,274.36,273.48,272.16,275.68,264.29,270.84,272.16,275.24,263.85,263.41,266.9,264.29,258.2,,14,968,28,14.45,
31.01.19 22:48:18,2.55,305.2,301.12,307.01,299.32,282.31,286.76,283.2,282.31,277.45,277.45,275.68,272.16,271.72,271.72,276.12,262.98,270.84,272.16,274.8,262.98,263.41,266.9,263.85,256.9,,14,968,28,14.47,
31.01.19 22:48:33,2.8,302.48,301.57,302.03,306.11,282.76,284.53,280.54,280.1,274.8,274.8,271.72,273.92,271.72,271.72,274.36,262.11,269.53,271.72,273.48,261.67,262.11,266.47,263.41,257.34,,14,968,28,14.5,
31.01.19 22:48:48,3.05,299.32,298.41,311.11,302.48,280.98,279.66,279.21,279.21,275.68,275.68,271.72,270.84,270.41,270.41,274.36,262.98,269.53,270.41,273.48,261.24,262.54,265.59,262.98,256.47,,14,968,28,14.54,
31.01.19 22:49:03,3.3,299.32,298.86,309.29,296.16,285.42,282.31,280.98,277,274.36,276.12,273.92,269.97,271.28,269.97,273.92,262.54,268.65,270.84,273.04,260.81,261.67,265.16,262.98,256.47,,14,968,28,14.54,
31.01.19 22:49:18,3.55,298.86,296.16,308.83,295.71,283.65,277.45,278.33,275.68,275.24,275.24,273.48,269.97,269.53,270.41,273.48,262.11,268.65,269.53,272.16,259.94,260.81,264.72,262.11,255.18,,14,968,28,14.57,
31.01.19 22:49:33,3.8,302.48,298.86,309.75,294.81,278.33,282.31,279.66,273.92,273.48,275.68,270.84,271.72,270.84,269.97,272.16,260.81,268.22,269.53,271.72,260.37,261.67,264.29,262.11,255.18,,14,968,28,14.57,
31.01.19 22:49:48,4.05,302.03,298.86,308.83,296.16,279.66,280.98,277,278.77,273.48,273.04,271.72,270.84,268.22,269.09,272.6,260.81,266.9,269.09,270.84,258.64,260.37,264.29,261.67,255.18,,14,968,28,14.61,
31.01.19 22:50:03,4.3,296.61,292.12,312.49,295.71,282.76,284.53,278.33,278.77,273.04,273.92,270.84,270.84,269.09,269.09,272.6,260.81,268.22,269.09,270.84,259.5,260.81,264.29,262.11,255.61,,14,968,28,14.63,
31.01.19 22:50:18,4.55,293.47,296.16,307.92,299.77,278.33,280.1,281.43,276.56,273.04,273.04,271.28,267.78,269.97,268.65,270.41,259.94,267.34,268.65,270.84,259.07,259.94,263.85,261.24,255.18,,14,968,28,14.64,
31.01.19 22:50:33,4.8,302.48,296.61,312.49,297.96,275.68,278.77,278.77,275.68,272.6,271.72,270.84,269.53,269.53,268.65,270.84,260.37,266.47,268.22,270.41,259.07,259.94,263.41,261.24,254.74,,14,968,28,14.66,
31.01.19 22:50:48,5.05,296.61,298.86,310.2,298.41,278.77,284.53,280.1,277,273.04,271.72,271.28,269.53,268.22,267.78,270.84,259.5,266.9,268.22,269.53,258.2,260.37,263.41,261.24,254.74,,14,968,28,14.68,
31.01.19 22:51:03,5.3,290.33,293.92,309.75,291.67,278.33,280.1,277.45,276.12,271.28,272.16,269.97,269.97,266.9,267.78,270.84,260.37,266.03,268.22,270.41,258.2,259.07,262.98,260.81,253.45,,14,968,28,14.68,
31.01.19 22:51:18,5.55,302.48,293.92,300.22,298.41,275.68,278.77,279.21,275.68,270.41,271.72,268.65,269.09,267.78,267.34,269.97,259.5,266.47,267.78,269.09,257.34,259.94,262.54,260.81,253.45,,14,968,28,14.68,
31.01.19 22:51:33,5.8,302.93,299.32,303.38,294.36,281.43,281.43,278.77,273.92,272.16,272.16,270.41,267.78,266.9,267.78,270.84,259.94,266.9,267.34,269.53,257.34,259.94,262.98,261.67,254.31,,14,968,28,14.7,
31.01.19 22:51:48,6.05,293.47,294.36,307.92,298.41,275.68,283.65,276.56,274.8,273.04,273.04,268.65,266.9,267.78,268.22,269.09,257.77,265.16,267.34,269.53,258.2,259.07,263.41,260.81,253.45,,14,968,28,14.72,
31.01.19 22:52:03,6.3,299.77,297.06,303.84,298.41,278.77,278.33,275.24,273.92,270.84,273.92,268.22,266.47,266.9,267.78,269.97,259.5,266.47,267.34,269.09,257.77,259.94,263.41,261.24,254.31,,14,968,28,14.72,
31.01.19 22:52:18,6.55,296.61,293.92,305.65,288.1,281.43,280.1,277.45,273.92,271.28,270.84,268.22,269.53,267.78,266.47,269.97,257.77,264.72,266.9,268.65,257.34,259.5,262.11,260.37,253.88,,14,968,28,14.73,
31.01.19 22:52:33,6.8,296.61,298.86,306.56,297.06,275.68,282.31,275.68,278.33,270.41,271.28,268.22,266.9,267.34,266.47,268.65,258.64,265.16,266.47,268.65,256.04,259.94,262.11,259.94,253.45,,14,968,28,14.73,
31.01.19 22:52:48,7.05,296.16,298.86,308.38,297.06,277,276.56,277.89,273.92,270.41,272.16,268.22,266.47,266.03,266.03,268.65,259.5,264.72,266.03,268.65,256.9,259.07,262.11,260.37,253.45,,14,968,28,14.75,
31.01.19 22:53:04,7.32,290.78,306.56,305.2,300.67,271.72,280.1,279.21,276.12,272.6,271.72,268.22,267.34,266.03,266.47,268.65,258.64,263.85,266.03,269.09,256.04,259.94,261.67,260.37,253.45,,14,968,28,14.75,
31.01.19 22:53:19,7.57,293.92,296.61,303.38,290.78,277.45,277,280.1,273.04,272.16,273.48,267.78,268.22,266.9,267.78,270.41,258.64,264.29,266.47,268.22,256.9,259.5,262.11,260.81,253.88,,14,968,28,14.77,
31.01.19 22:53:34,7.82,293.47,292.12,301.57,297.96,275.68,280.1,276.56,274.36,270.84,270.84,267.78,267.78,266.9,266.47,267.34,257.77,263.85,266.47,267.78,256.04,258.2,261.67,260.37,253.02,,14,968,28,14.77,
31.01.19 22:53:49,8.07,299.77,299.32,299.77,296.16,274.8,278.33,276.56,273.48,270.84,271.28,267.34,267.34,266.03,265.59,268.65,258.64,264.29,266.47,267.78,256.47,259.5,262.11,260.37,253.45,,14,968,28,14.77,
31.01.19 22:54:04,8.32,290.78,289.44,302.48,296.16,277,276.56,274.8,274.8,269.97,270.41,267.34,267.78,266.9,266.03,268.22,258.64,264.72,265.59,267.78,256.04,259.07,262.11,260.37,253.45,,14,968,28,14.77,
31.01.19 22:54:19,8.57,290.78,294.36,302.03,297.51,277.45,280.54,279.21,270.41,271.28,272.16,267.34,268.65,267.78,266.03,269.53,258.2,264.29,266.47,267.34,256.9,259.07,262.11,260.37,253.45,,14,968,28,14.79,
