Measurement Name :,20190223_resp_run2,,Generated On :,"22/02/2019, 17:56:29",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"22/02/2019, 17:30:24",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"22/02/2019, 17:56:22",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
22.02.19 17:30:26,0.03,332.48,330.98,336.96,331.48,330.49,331.98,335.96,327.51,337.96,335.46,334.97,334.97,335.96,329.99,338.46,319.62,337.46,328.5,336.46,321.59,334.97,336.96,333.97,323.56,,11,968,28,16.48,
22.02.19 17:30:41,0.28,330.49,329,334.97,329.5,329.5,330.98,335.46,326.52,337.46,334.97,334.47,333.97,334.47,329.5,336.96,318.14,334.47,328.01,335.46,319.13,331.98,333.97,333.47,322.57,,11,968,28,16.43,
22.02.19 17:30:57,0.55,329.5,328.5,334.47,329.99,329.99,330.49,334.97,327.02,337.96,335.96,334.97,332.97,335.46,329.5,336.96,316.67,334.47,327.51,335.46,320.6,332.97,333.97,332.48,322.57,,11,968,28,16.39,
22.02.19 17:31:12,0.8,328.5,326.52,332.97,328.5,328.01,330.49,334.47,325.53,336.96,334.97,334.47,332.48,334.47,328.5,336.46,317.65,334.47,328.01,333.97,319.13,332.48,332.97,330.49,321.59,,11,968,28,16.34,
22.02.19 17:31:27,1.05,326.52,326.52,331.48,329,328.01,328.01,333.97,325.53,335.46,333.97,334.47,331.98,333.47,328.01,336.96,316.67,334.47,327.02,333.97,317.65,330.49,333.97,331.48,321.59,,11,968,28,16.27,
22.02.19 17:31:42,1.3,327.02,325.53,331.48,327.51,327.02,329,331.48,324.05,333.97,332.97,332.97,330.98,332.97,326.52,335.96,316.67,332.48,326.52,332.97,317.16,330.49,332.48,329.99,319.62,,11,968,28,16.22,
22.02.19 17:31:57,1.55,325.04,326.03,330.98,325.53,326.03,328.01,332.97,322.57,333.97,332.97,332.48,330.98,331.98,327.02,334.97,315.69,330.49,326.52,333.97,316.67,329.5,330.98,328.5,320.11,,11,968,28,16.18,
22.02.19 17:32:12,1.8,325.53,325.04,330.49,326.03,326.03,327.02,331.98,323.06,332.97,332.48,332.97,330.49,330.49,326.52,334.97,314.22,330.98,325.53,333.47,315.69,329,329.99,329.99,317.65,,11,968,28,16.13,
22.02.19 17:32:27,2.05,323.06,322.57,329.5,324.55,326.03,327.51,331.48,321.59,331.98,331.48,332.97,329.5,330.49,326.52,334.97,313.73,330.49,323.56,333.47,315.2,327.51,330.49,329.5,318.14,,11,968,28,16.07,
22.02.19 17:32:42,2.3,322.57,322.57,328.01,323.56,325.04,326.52,329.99,321.59,332.97,330.98,330.98,329.5,329.5,325.53,333.97,314.22,330.49,323.56,332.48,315.69,327.51,329.99,327.51,317.16,,11,968,28,16.04,
22.02.19 17:32:57,2.55,321.09,321.59,328.01,323.56,325.04,325.53,329.5,320.6,331.48,331.48,331.48,327.02,329,325.04,332.97,312.75,327.51,323.06,330.98,313.73,327.02,329,328.5,315.69,,11,968,28,15.97,
