Measurement Name :,20190410_resp_2_T3,,Generated On :,"10/04/2019, 17:23:36",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"10/04/2019, 16:52:36",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"10/04/2019, 17:23:27",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
10.04.19 16:52:38,0.03,313.48,313.95,313.95,313.95,315.35,315.81,316.75,310.7,312.55,316.28,319.08,313.02,309.77,319.55,319.08,301,306.99,312.09,318.15,299.62,302.38,304.22,304.22,291.39,,13,968,29,15.86,
10.04.19 16:52:53,0.28,309.3,310.23,310.7,310.7,311.62,312.55,313.95,307.92,309.3,313.48,315.81,309.77,306.07,316.75,316.28,297.78,303.3,309.3,314.88,295.95,298.24,301,300.54,288.2,,13,968,29,16.02,
10.04.19 16:53:08,0.53,306.53,308.84,309.3,308.38,309.3,311.16,312.55,306.53,306.53,312.09,314.42,307.92,304.22,315.35,315.35,296.87,301,307.45,313.48,295.04,295.95,299.16,299.62,286.39,,13,968,29,16.14,
10.04.19 16:53:23,0.78,304.22,306.99,306.99,306.07,306.99,308.84,310.23,304.22,305.14,310.23,312.55,305.6,301.46,313.48,313.02,294.12,298.24,305.6,311.16,292.75,294.12,296.87,297.33,284.58,,13,968,29,16.22,
10.04.19 16:53:38,1.03,301.92,304.68,305.6,304.68,304.68,306.99,308.38,302.38,302.84,308.38,311.16,304.22,299.62,311.62,311.62,292.75,296.87,303.76,309.3,291.39,292.3,295.95,295.04,282.77,,13,968,29,16.32,
