Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1291
Scope 1/1, Sample 1/6 (20190121_1B)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-7.8,14.7,NaN,,
0.0010,1,-8.0,14.7,0.0010,,
0.0025,2,-8.0,14.7,0.0015,,
0.0050,3,-7.9,14.7,0.0025,,
0.0090,4,-7.6,14.7,0.0035,,
0.0150,5,-6.6,14.7,0.0055,,
0.0235,6,-4.4,14.7,0.0075,,
0.0320,7,-0.9,14.7,0.0075,,
0.0405,8,1.6,14.7,0.0075,,
0.0490,9,3.8,14.7,0.0075,,
0.0565,10,5.9,14.7,0.0070,,
0.0650,11,7.5,14.7,0.0075,,
0.0735,12,9.5,14.7,0.0075,,
0.0815,13,10.9,14.7,0.0075,,
0.0900,14,12.5,14.7,0.0075,,
0.0985,15,13.6,14.7,0.0075,,
0.1060,16,14.6,14.7,0.0070,,
0.1145,17,15.5,14.7,0.0075,,
0.1230,18,16.7,14.7,0.0075,,
0.1315,19,17.7,14.7,0.0075,,
0.1400,20,18.7,14.7,0.0075,,
0.1480,21,19.3,14.7,0.0075,,
0.1560,22,20.0,14.7,0.0075,,
0.1640,23,20.6,14.7,0.0075,,
0.1725,24,21.1,14.7,0.0075,,
0.1810,25,21.8,14.7,0.0075,,
0.1895,26,22.6,14.7,0.0075,,
0.1970,27,23.4,14.7,0.0070,,
0.2055,28,24.0,14.7,0.0075,,
0.2140,29,24.5,14.7,0.0075,,
0.2225,30,25.0,14.7,0.0075,,
0.2310,31,25.7,14.7,0.0075,,
0.2390,32,26.2,14.7,0.0075,,
0.2470,33,27.0,14.7,0.0075,,
0.2550,34,27.8,14.7,0.0075,,
0.2635,35,28.7,14.7,0.0075,,
0.2720,36,29.3,14.7,0.0075,,
0.2805,37,29.9,14.7,0.0075,,
0.2890,38,30.3,14.7,0.0075,,
0.2965,39,30.8,14.7,0.0070,,
0.3050,40,31.4,14.7,0.0075,,
0.3135,41,32.1,14.8,0.0075,,
0.3215,42,32.9,14.7,0.0075,,
0.3300,43,34.0,14.8,0.0075,,
0.3385,44,34.7,14.8,0.0075,,
0.3470,45,35.2,14.8,0.0075,,
0.3545,46,35.7,14.8,0.0070,,
0.3630,47,36.4,14.8,0.0075,,
0.3715,48,36.9,14.8,0.0075,,
0.3800,49,37.8,14.8,0.0075,,
0.3880,50,38.4,14.8,0.0075,,
0.3960,51,38.8,14.8,0.0075,,
0.4040,52,40.0,14.8,0.0075,,
0.4125,53,40.5,14.8,0.0075,,
0.4210,54,40.8,14.8,0.0075,,
0.4295,55,41.6,14.8,0.0075,,
