Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1379
Scope 1/1, Sample 1/9 (20190218_3B)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-49.5,13.3,NaN,,
0.0010,1,-49.6,13.3,0.0010,,
0.0025,2,-49.6,13.3,0.0015,,
0.0050,3,-49.5,13.3,0.0025,,
0.0095,4,-49.2,13.3,0.0035,,
0.0160,5,-48.7,13.3,0.0055,,
0.0235,6,-47.4,13.3,0.0070,,
0.0320,7,-45.4,13.3,0.0075,,
0.0405,8,-42.8,13.3,0.0075,,
0.0490,9,-39.2,13.3,0.0070,,
0.0570,10,-36.1,13.3,0.0065,,
0.0655,11,-32.6,13.4,0.0070,,
0.0740,12,-28.6,13.4,0.0075,,
0.0815,13,-24.1,13.4,0.0070,,
0.0900,14,-19.8,13.4,0.0075,,
0.0985,15,-15.4,13.4,0.0070,,
0.1070,16,-11.3,13.4,0.0070,,
0.1155,17,-7.9,13.4,0.0070,,
0.1230,18,-5.2,13.4,0.0070,,
0.1315,19,-2.2,13.4,0.0075,,
0.1400,20,0.3,13.4,0.0075,,
0.1480,21,2.5,13.4,0.0065,,
0.1565,22,4.1,13.4,0.0070,,
0.1650,23,5.8,13.4,0.0075,,
0.1725,24,7.6,13.4,0.0070,,
0.1810,25,8.8,13.4,0.0075,,
0.1895,26,10.0,13.4,0.0075,,
0.1980,27,11.1,13.4,0.0070,,
0.2065,28,12.3,13.4,0.0070,,
0.2150,29,13.4,13.4,0.0075,,
0.2225,30,14.5,13.4,0.0070,,
0.2310,31,15.8,13.4,0.0075,,
0.2390,32,17.0,13.4,0.0075,,
0.2475,33,18.3,13.4,0.0070,,
0.2560,34,19.1,13.4,0.0070,,
0.2645,35,20.1,13.4,0.0075,,
0.2720,36,21.0,13.4,0.0070,,
0.2805,37,21.8,13.4,0.0075,,
0.2890,38,22.4,13.4,0.0075,,
0.2975,39,23.6,13.4,0.0070,,
0.3055,40,24.3,13.4,0.0065,,
0.3135,41,24.9,13.4,0.0075,,
0.3215,42,26.5,13.4,0.0075,,
0.3300,43,27.1,13.4,0.0075,,
0.3385,44,27.5,13.4,0.0070,,
0.3470,45,28.3,13.4,0.0070,,
0.3555,46,28.9,13.4,0.0070,,
0.3640,47,29.5,13.4,0.0075,,
0.3715,48,29.9,13.4,0.0070,,
0.3800,49,30.8,13.4,0.0075,,
0.3880,50,31.6,13.5,0.0075,,
0.3965,51,32.8,13.5,0.0070,,
0.4050,52,33.5,13.5,0.0070,,
0.4125,53,34.1,13.5,0.0070,,
0.4210,54,34.8,13.5,0.0075,,
0.4295,55,35.7,13.5,0.0075,,
0.4380,56,36.4,13.5,0.0070,,
0.4465,57,36.8,13.5,0.0070,,
0.4550,58,37.1,13.5,0.0070,,
0.4625,59,37.5,13.5,0.0070,,
0.4705,60,38.7,13.5,0.0075,,
0.4790,61,39.7,13.5,0.0075,,
0.4875,62,40.5,13.5,0.0075,,
0.4960,63,40.9,13.5,0.0070,,
0.5045,64,41.8,13.5,0.0070,,
0.5120,65,42.6,13.5,0.0070,,
0.5205,66,43.5,13.5,0.0075,,
0.5290,67,44.3,13.5,0.0075,,
0.5375,68,45.2,13.5,0.0070,,
0.5455,69,45.8,13.5,0.0065,,
0.5540,70,46.6,13.5,0.0070,,
0.5615,71,47.0,13.5,0.0070,,
0.5700,72,47.9,13.5,0.0075,,
0.5785,73,48.5,13.5,0.0075,,
0.5870,74,48.6,13.5,0.0070,,
0.5955,75,49.2,13.5,0.0070,,
0.6040,76,49.7,13.5,0.0070,,
0.6115,77,50.6,13.5,0.0070,,
0.6200,78,51.6,13.5,0.0075,,
0.6280,79,51.9,13.5,0.0075,,
0.6365,80,52.9,13.5,0.0070,,
0.6450,81,53.6,13.5,0.0070,,
0.6535,82,54.2,13.5,0.0070,,
0.6610,83,54.7,13.5,0.0070,,
0.6695,84,55.8,13.5,0.0075,,
0.6780,85,57.4,13.5,0.0075,,
0.6865,86,57.9,13.5,0.0070,,
0.6945,87,58.2,13.5,0.0065,,
0.7030,88,58.6,13.6,0.0070,,
0.7105,89,59.3,13.6,0.0070,,
0.7190,90,60.2,13.6,0.0075,,
0.7275,91,60.7,13.6,0.0075,,
0.7360,92,61.2,13.6,0.0070,,
0.7445,93,61.9,13.6,0.0070,,
0.7530,94,62.9,13.6,0.0070,,
0.7605,95,63.4,13.6,0.0070,,
0.7690,96,64.1,13.6,0.0075,,
0.7770,97,65.2,13.6,0.0075,,
0.7855,98,66.2,13.6,0.0070,,
0.7940,99,67.5,13.6,0.0070,,
0.8025,100,67.8,13.6,0.0075,,
0.8100,101,68.7,13.6,0.0070,,
0.8185,102,69.7,13.6,0.0075,,
0.8270,103,70.3,13.6,0.0075,,
0.8355,104,71.0,13.6,0.0070,,
0.8440,105,71.5,13.6,0.0070,,
0.8520,106,71.9,13.6,0.0075,,
0.8600,107,73.2,13.6,0.0075,,
0.8680,108,74.3,13.6,0.0075,,
0.8765,109,75.2,13.6,0.0075,,
0.8850,110,75.8,13.6,0.0070,,
0.8935,111,76.9,13.6,0.0070,,
0.9010,112,77.9,13.6,0.0070,,
0.9095,113,78.9,13.6,0.0075,,
0.9180,114,79.6,13.6,0.0075,,
0.9265,115,80.8,13.6,0.0070,,
0.9350,116,82.0,13.6,0.0070,,
0.9430,117,83.3,13.6,0.0065,,
0.9510,118,83.6,13.6,0.0075,,
0.9590,119,84.4,13.6,0.0075,,
0.9675,120,86.1,13.6,0.0075,,
0.9760,121,87.2,13.6,0.0075,,
0.9845,122,87.8,13.6,0.0070,,
0.9930,123,89.4,13.6,0.0070,,
1.0005,124,90.3,13.6,0.0070,,
1.0090,125,92.8,13.6,0.0075,,
1.0175,126,93.7,13.6,0.0075,,
1.0255,127,94.8,13.6,0.0065,,
1.0340,128,95.7,13.7,0.0070,,
1.0425,129,97.1,13.7,0.0070,,
1.0500,130,98.4,13.7,0.0070,,
1.0585,131,100.8,13.7,0.0075,,
1.0670,132,102.6,13.7,0.0075,,
1.0755,133,103.9,13.7,0.0070,,
1.0840,134,106.1,13.7,0.0070,,
1.0925,135,107.5,13.7,0.0075,,
1.1000,136,109.0,13.7,0.0070,,
1.1085,137,110.8,13.7,0.0075,,
1.1165,138,113.8,13.7,0.0075,,
1.1250,139,115.5,13.7,0.0070,,
1.1335,140,118.2,13.7,0.0070,,
1.1410,141,119.9,13.7,0.0070,,
1.1495,142,123.8,13.7,0.0075,,
1.1580,143,125.8,13.7,0.0075,,
1.1665,144,128.2,13.7,0.0075,,
1.1750,145,131.4,13.7,0.0070,,
1.1830,146,134.5,13.7,0.0065,,
1.1915,147,137.6,13.7,0.0075,,
1.1990,148,141.4,13.7,0.0070,,
1.2075,149,145.0,13.7,0.0075,,
1.2160,150,148.3,13.7,0.0070,,
1.2245,151,151.2,13.7,0.0070,,
1.2330,152,155.0,13.7,0.0070,,
1.2415,153,157.7,13.7,0.0075,,
1.2490,154,160.8,13.7,0.0070,,
1.2575,155,163.4,13.7,0.0075,,
1.2660,156,165.9,13.7,0.0075,,
1.2740,157,167.9,13.7,0.0065,,
1.2825,158,170.2,13.7,0.0070,,
1.2900,159,171.9,13.7,0.0070,,
1.2985,160,173.7,13.7,0.0075,,
1.3070,161,175.6,13.7,0.0075,,
1.3155,162,177.4,13.7,0.0070,,
1.3240,163,178.9,13.7,0.0070,,
1.3325,164,180.3,13.7,0.0070,,
1.3400,165,181.7,13.7,0.0070,,
1.3485,166,182.9,13.7,0.0075,,
1.3565,167,184.4,13.7,0.0075,,
1.3635,168,185.1,13.7,0.0070,,
1.3635,408,187.4,14.1,0.0000,,
1.3640,409,187.5,14.1,0.0005,,
1.3655,410,187.5,14.1,0.0015,,
1.3680,411,187.5,14.1,0.0025,,
1.3720,412,187.8,14.1,0.0035,,
1.3780,413,188.2,14.1,0.0050,,
1.3865,414,189.1,14.1,0.0070,,
1.3940,415,189.8,14.1,0.0070,,
1.4025,416,190.8,14.1,0.0075,,
1.4110,417,191.7,14.1,0.0075,,
1.4195,418,192.6,14.1,0.0070,,
1.4275,419,193.4,14.1,0.0065,,
1.4360,420,194.4,14.1,0.0070,,
1.4435,421,195.1,14.1,0.0070,,
1.4520,422,195.9,14.1,0.0075,,
1.4605,423,196.8,14.1,0.0075,,
1.4690,424,197.4,14.1,0.0070,,
1.4775,425,198.1,14.1,0.0070,,
1.4860,426,198.9,14.1,0.0070,,
1.4935,427,199.6,14.1,0.0070,,
1.5020,428,200.2,14.2,0.0075,,
1.5100,429,200.9,14.2,0.0075,,
1.5185,430,201.4,14.2,0.0070,,
1.5270,431,202.0,14.1,0.0070,,
1.5355,432,202.7,14.2,0.0070,,
1.5430,433,203.1,14.2,0.0070,,
1.5515,434,203.8,14.2,0.0075,,
1.5600,435,204.4,14.2,0.0070,,
