Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1384
Scope 1/1, Sample 1/3 (20190223_JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-65.4,14.9,NaN,,
0.0010,1,-65.4,14.9,0.0010,,
0.0025,2,-65.4,14.9,0.0015,,
0.0050,3,-65.4,14.9,0.0025,,
0.0085,4,-65.2,14.9,0.0030,,
0.0145,5,-64.8,14.9,0.0055,,
0.0230,6,-63.9,14.9,0.0075,,
0.0315,7,-62.6,14.9,0.0075,,
0.0400,8,-61.1,14.9,0.0075,,
0.0485,9,-59.6,14.9,0.0085,,
0.0560,10,-57.8,14.9,0.0070,,
0.0645,11,-55.8,14.9,0.0075,,
0.0725,12,-53.5,14.9,0.0075,,
0.0810,13,-50.9,14.9,0.0075,,
0.0895,14,-48.2,14.9,0.0075,,
0.0970,15,-45.5,14.9,0.0070,,
0.1055,16,-42.4,14.9,0.0075,,
0.1140,17,-38.9,14.9,0.0075,,
0.1225,18,-35.1,14.9,0.0075,,
0.1310,19,-30.6,14.9,0.0075,,
0.1390,20,-26.0,14.9,0.0075,,
0.1470,21,-21.8,14.9,0.0075,,
0.1550,22,-17.1,14.9,0.0075,,
0.1635,23,-13.6,14.9,0.0075,,
0.1720,24,-10.2,14.9,0.0075,,
0.1805,25,-7.3,14.9,0.0075,,
0.1890,26,-5.0,14.9,0.0075,,
0.1965,27,-3.1,14.9,0.0070,,
0.2050,28,-0.5,14.9,0.0075,,
0.2135,29,0.4,14.9,0.0075,,
0.2215,30,2.4,14.9,0.0075,,
0.2300,31,4.0,14.9,0.0075,,
0.2385,32,5.6,14.9,0.0075,,
0.2460,33,6.6,14.9,0.0070,,
0.2545,34,7.6,14.9,0.0075,,
0.2630,35,8.8,14.9,0.0075,,
0.2715,36,9.8,14.9,0.0075,,
0.2800,37,11.0,14.9,0.0075,,
0.2885,38,12.0,15.0,0.0075,,
0.2960,39,12.8,14.9,0.0070,,
0.3040,40,13.8,15.0,0.0075,,
0.3125,41,14.8,14.9,0.0075,,
0.3210,42,15.6,15.0,0.0075,,
0.3295,43,16.3,15.0,0.0075,,
0.3380,44,17.2,15.0,0.0075,,
0.3455,45,18.1,15.0,0.0070,,
0.3540,46,18.8,15.0,0.0075,,
0.3625,47,19.4,15.0,0.0075,,
0.3710,48,20.5,15.0,0.0075,,
0.3790,49,21.3,15.0,0.0075,,
0.3870,50,22.1,15.0,0.0075,,
0.3955,51,22.7,15.0,0.0075,,
0.4035,52,23.3,15.0,0.0075,,
0.4120,53,24.1,15.0,0.0075,,
0.4205,54,25.0,15.0,0.0075,,
0.4290,55,25.8,15.0,0.0075,,
0.4365,56,26.6,15.0,0.0070,,
0.4450,57,27.4,15.0,0.0075,,
0.4535,58,28.2,15.0,0.0075,,
0.4620,59,28.9,15.0,0.0075,,
0.4700,60,29.6,15.0,0.0075,,
0.4785,61,30.2,15.0,0.0075,,
0.4860,62,30.8,15.0,0.0070,,
0.4945,63,31.5,15.0,0.0075,,
0.5030,64,32.3,15.0,0.0075,,
0.5115,65,33.4,15.0,0.0075,,
0.5200,66,34.2,15.0,0.0075,,
0.5285,67,34.9,15.0,0.0085,,
0.5360,68,35.7,15.0,0.0070,,
0.5445,69,36.2,15.0,0.0075,,
0.5530,70,36.7,15.0,0.0075,,
0.5610,71,37.3,15.0,0.0075,,
0.5695,72,37.9,15.0,0.0075,,
0.5780,73,38.7,15.0,0.0085,,
0.5855,74,40.0,15.0,0.0070,,
0.5940,75,40.8,15.0,0.0075,,
0.6025,76,41.7,15.0,0.0075,,
0.6110,77,42.4,15.0,0.0075,,
0.6195,78,42.9,15.0,0.0075,,
