Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1397
Scope 1/1, Sample 1/9 (20190223_T6)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-52.9,18.6,NaN,,
0.0005,1,-53.0,18.6,0.0005,,
0.0025,2,-53.0,18.6,0.0020,,
0.0050,3,-53.0,18.6,0.0025,,
0.0085,4,-52.8,18.6,0.0030,,
0.0145,5,-52.4,18.6,0.0055,,
0.0230,6,-51.4,18.6,0.0075,,
0.0305,7,-50.0,18.6,0.0075,,
0.0390,8,-48.2,18.6,0.0085,,
0.0475,9,-46.0,18.6,0.0075,,
0.0560,10,-43.6,18.6,0.0075,,
0.0645,11,-40.9,18.6,0.0075,,
0.0720,12,-38.3,18.6,0.0075,,
0.0805,13,-35.2,18.6,0.0085,,
0.0885,14,-31.9,18.6,0.0080,,
0.0970,15,-28.4,18.6,0.0075,,
0.1055,16,-24.7,18.6,0.0075,,
0.1140,17,-20.9,18.6,0.0075,,
0.1225,18,-17.4,18.6,0.0085,,
0.1300,19,-13.6,18.6,0.0075,,
0.1385,20,-10.6,18.6,0.0085,,
0.1470,21,-8.0,18.6,0.0075,,
0.1555,22,-5.5,18.6,0.0075,,
0.1635,23,-3.3,18.6,0.0075,,
0.1715,24,-1.3,18.6,0.0080,,
0.1795,25,0.0,18.6,0.0080,,
0.1880,26,1.7,18.6,0.0085,,
0.1965,27,2.9,18.6,0.0075,,
0.2050,28,4.2,18.6,0.0075,,
0.2135,29,5.4,18.6,0.0075,,
0.2220,30,6.6,18.6,0.0085,,
0.2295,31,7.9,18.6,0.0075,,
0.2380,32,9.1,18.6,0.0085,,
0.2460,33,10.2,18.6,0.0075,,
0.2545,34,11.5,18.6,0.0075,,
0.2630,35,12.6,18.6,0.0075,,
0.2705,36,13.6,18.6,0.0075,,
0.2790,37,14.7,18.6,0.0085,,
0.2875,38,15.8,18.6,0.0075,,
0.2960,39,17.0,18.6,0.0075,,
0.3045,40,17.9,18.6,0.0075,,
0.3130,41,18.8,18.6,0.0075,,
0.3205,42,19.4,18.6,0.0075,,
0.3290,43,20.4,18.6,0.0085,,
0.3370,44,21.3,18.6,0.0075,,
0.3455,45,22.8,18.6,0.0075,,
0.3540,46,23.8,18.6,0.0075,,
0.3625,47,24.4,18.6,0.0085,,
0.3700,48,25.3,18.6,0.0070,,
0.3785,49,26.1,18.6,0.0085,,
0.3870,50,26.8,18.7,0.0075,,
0.3955,51,27.8,18.6,0.0075,,
0.4040,52,28.4,18.7,0.0075,,
0.4115,53,29.0,18.7,0.0075,,
0.4200,54,29.6,18.7,0.0085,,
0.4280,55,30.3,18.7,0.0080,,
0.4365,56,31.0,18.7,0.0075,,
0.4450,57,32.0,18.7,0.0075,,
0.4535,58,32.7,18.7,0.0075,,
0.4610,59,33.3,18.7,0.0075,,
0.4695,60,34.3,18.7,0.0085,,
0.4780,61,35.1,18.7,0.0075,,
0.4865,62,35.8,18.7,0.0075,,
0.4950,63,36.8,18.7,0.0075,,
0.5030,64,37.5,18.7,0.0075,,
0.5110,65,38.0,18.7,0.0080,,
0.5190,66,38.8,18.7,0.0080,,
0.5275,67,39.5,18.7,0.0075,,
0.5360,68,40.1,18.7,0.0075,,
0.5445,69,40.8,18.7,0.0075,,
0.5530,70,41.8,18.7,0.0085,,
0.5605,71,42.8,18.7,0.0075,,
0.5690,72,43.8,18.7,0.0085,,
0.5775,73,44.9,18.7,0.0075,,
0.5860,74,45.7,18.7,0.0075,,
0.5945,75,46.3,18.7,0.0075,,
0.6020,76,46.8,18.7,0.0075,,
0.6105,77,47.3,18.7,0.0085,,
0.6185,78,47.8,18.7,0.0080,,
0.6270,79,49.1,18.7,0.0075,,
0.6355,80,49.8,18.7,0.0075,,
0.6440,81,50.6,18.7,0.0075,,
0.6515,82,51.1,18.7,0.0075,,
0.6600,83,52.4,18.7,0.0085,,
0.6685,84,53.1,18.7,0.0075,,
0.6770,85,54.5,18.7,0.0075,,
0.6850,86,55.3,18.7,0.0075,,
0.6930,87,56.1,18.7,0.0080,,
0.7010,88,56.9,18.7,0.0080,,
0.7095,89,57.6,18.7,0.0085,,
0.7180,90,58.0,18.7,0.0075,,
0.7265,91,58.6,18.7,0.0075,,
0.7350,92,59.3,18.7,0.0075,,
0.7435,93,60.0,18.7,0.0085,,
0.7510,94,60.9,18.7,0.0075,,
0.7595,95,61.4,18.7,0.0085,,
0.7680,96,62.0,18.7,0.0075,,
