Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1428
Scope 1/1, Sample 1/9 (20190326_T0)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-56.1,14.2,NaN,,
0.0010,1,-56.3,14.2,0.0010,,
0.0025,2,-56.3,14.2,0.0015,,
0.0050,3,-51.9,14.2,0.0025,,
0.0090,4,-48.7,14.2,0.0035,,
0.0150,5,-46.4,14.2,0.0055,,
0.0235,6,-42.3,14.2,0.0075,,
0.0310,7,-33.1,14.2,0.0075,,
0.0395,8,-18.4,14.2,0.0085,,
0.0480,9,-14.8,14.2,0.0075,,
0.0565,10,-13.2,14.2,0.0075,,
0.0650,11,-12.1,14.2,0.0075,,
0.0735,12,-4.4,14.2,0.0075,,
0.0810,13,-1.6,14.2,0.0075,,
0.0895,14,2.8,14.2,0.0085,,
0.0980,15,6.5,14.2,0.0075,,
0.1060,16,8.1,14.2,0.0075,,
0.1145,17,11.6,14.2,0.0075,,
0.1230,18,16.5,14.2,0.0085,,
0.1305,19,21.7,14.2,0.0075,,
0.1390,20,29.3,14.2,0.0085,,
0.1475,21,32.9,14.2,0.0075,,
0.1560,22,35.5,14.2,0.0075,,
0.1645,23,38.0,14.2,0.0075,,
0.1725,24,40.9,14.2,0.0075,,
0.1805,25,41.6,14.2,0.0080,,
0.1885,26,43.6,14.2,0.0080,,
0.1970,27,44.8,14.2,0.0075,,
0.2055,28,47.3,14.3,0.0075,,
0.2140,29,47.5,14.3,0.0075,,
0.2225,30,51.1,14.3,0.0085,,
0.2300,31,50.2,14.3,0.0075,,
0.2385,32,55.1,14.3,0.0085,,
0.2470,33,52.1,14.3,0.0075,,
0.2555,34,51.5,14.3,0.0075,,
0.2635,35,53.4,14.3,0.0075,,
0.2720,36,54.8,14.3,0.0085,,
0.2795,37,55.9,14.3,0.0075,,
0.2880,38,56.3,14.3,0.0085,,
0.2965,39,58.2,14.3,0.0075,,
0.3050,40,59.7,14.3,0.0075,,
0.3135,41,63.6,14.3,0.0075,,
0.3210,42,61.8,14.3,0.0075,,
0.3295,43,64.0,14.3,0.0085,,
0.3380,44,62.0,14.3,0.0075,,
0.3465,45,62.9,14.3,0.0075,,
0.3545,46,66.3,14.3,0.0075,,
0.3630,47,64.3,14.3,0.0075,,
0.3705,48,65.4,14.3,0.0075,,
0.3790,49,63.9,14.3,0.0085,,
0.3875,50,63.5,14.3,0.0075,,
0.3960,51,63.4,14.3,0.0075,,
0.4045,52,62.2,14.3,0.0075,,
0.4130,53,67.6,14.3,0.0075,,
0.4205,54,65.8,14.3,0.0075,,
0.4290,55,67.3,14.3,0.0085,,
0.4370,56,69.8,14.3,0.0075,,
0.4455,57,73.9,14.3,0.0075,,
0.4540,58,68.0,14.3,0.0075,,
0.4625,59,68.3,14.3,0.0075,,
0.4700,60,71.0,14.3,0.0075,,
0.4785,61,69.1,14.3,0.0085,,
0.4870,62,71.7,14.3,0.0075,,
0.4955,63,71.7,14.3,0.0075,,
0.5035,64,72.8,14.3,0.0075,,
0.5120,65,70.2,14.3,0.0085,,
0.5195,66,70.6,14.3,0.0075,,
0.5280,67,72.0,14.3,0.0085,,
0.5365,68,72.3,14.3,0.0075,,
0.5450,69,76.2,14.3,0.0075,,
0.5535,70,79.0,14.3,0.0075,,
0.5620,71,79.1,14.3,0.0085,,
0.5695,72,81.1,14.3,0.0075,,
0.5780,73,81.6,14.3,0.0085,,
0.5865,74,77.7,14.3,0.0075,,
0.5945,75,79.9,14.3,0.0075,,
0.6030,76,77.9,14.3,0.0075,,
0.6105,77,81.0,14.3,0.0075,,
0.6190,78,81.9,14.4,0.0085,,
0.6275,79,81.9,14.4,0.0075,,
0.6360,80,79.6,14.4,0.0075,,
0.6445,81,83.6,14.4,0.0075,,
0.6530,82,89.0,14.4,0.0075,,
0.6605,83,86.8,14.4,0.0075,,
0.6690,84,86.3,14.4,0.0085,,
0.6770,85,85.0,14.4,0.0075,,
0.6855,86,89.4,14.4,0.0075,,
0.6940,87,84.0,14.4,0.0075,,
0.7025,88,85.0,14.4,0.0075,,
0.7100,89,85.5,14.4,0.0075,,
0.7185,90,85.2,14.4,0.0085,,
0.7270,91,85.3,14.4,0.0075,,
0.7355,92,87.4,14.4,0.0075,,
0.7440,93,90.2,14.4,0.0075,,
0.7520,94,92.2,14.4,0.0080,,
0.7600,95,90.6,14.4,0.0080,,
0.7680,96,88.5,14.4,0.0080,,
0.7765,97,88.4,14.4,0.0075,,
0.7850,98,91.2,14.4,0.0075,,
0.7935,99,94.7,14.4,0.0075,,
0.8020,100,94.2,14.4,0.0075,,
0.8095,101,94.4,14.4,0.0075,,
0.8180,102,95.9,14.4,0.0085,,
