Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1466
Scope 1/1, Sample 1/2 (20190408_H6)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-51.9,24.3,NaN,,
0.0005,1,-52.1,24.3,0.0005,,
0.0025,2,-52.2,24.3,0.0020,,
0.0050,3,-52.1,24.3,0.0025,,
0.0090,4,-52.0,24.3,0.0035,,
0.0150,5,-51.6,24.3,0.0055,,
0.0235,6,-50.7,24.3,0.0075,,
0.0310,7,-49.6,24.3,0.0075,,
0.0395,8,-48.0,24.3,0.0085,,
0.0480,9,-46.4,24.3,0.0075,,
0.0565,10,-44.5,24.3,0.0075,,
0.0650,11,-42.6,24.3,0.0075,,
0.0735,12,-40.5,24.3,0.0075,,
0.0810,13,-38.3,24.3,0.0075,,
0.0895,14,-35.8,24.3,0.0085,,
0.0975,15,-33.1,24.3,0.0075,,
0.1060,16,-30.2,24.3,0.0075,,
0.1145,17,-27.3,24.3,0.0075,,
0.1230,18,-24.4,24.3,0.0085,,
0.1305,19,-21.4,24.3,0.0075,,
0.1390,20,-18.3,24.3,0.0085,,
0.1475,21,-15.4,24.3,0.0075,,
0.1560,22,-12.9,24.3,0.0075,,
0.1645,23,-10.9,24.3,0.0075,,
0.1725,24,-9.3,24.3,0.0080,,
0.1805,25,-7.4,24.3,0.0080,,
0.1885,26,-5.7,24.3,0.0080,,
0.1970,27,-4.1,24.3,0.0075,,
0.2055,28,-2.2,24.3,0.0075,,
0.2140,29,-0.2,24.3,0.0075,,
0.2215,30,0.2,24.3,0.0075,,
0.2300,31,1.6,24.3,0.0085,,
0.2385,32,2.8,24.3,0.0085,,
0.2470,33,3.9,24.3,0.0075,,
0.2555,34,5.0,24.3,0.0075,,
0.2635,35,6.1,24.3,0.0075,,
0.2715,36,6.9,24.3,0.0080,,
0.2795,37,7.9,24.3,0.0080,,
0.2880,38,9.0,24.3,0.0075,,
0.2965,39,10.2,24.3,0.0075,,
0.3050,40,11.2,24.3,0.0075,,
0.3135,41,12.1,24.3,0.0085,,
0.3210,42,13.2,24.3,0.0075,,
0.3295,43,14.2,24.3,0.0085,,
0.3380,44,15.2,24.3,0.0075,,
0.3465,45,16.2,24.3,0.0075,,
0.3545,46,17.0,24.3,0.0075,,
0.3630,47,17.8,24.3,0.0085,,
0.3705,48,18.7,24.3,0.0075,,
0.3790,49,19.7,24.3,0.0085,,
0.3875,50,20.6,24.3,0.0075,,
0.3960,51,21.5,24.3,0.0075,,
0.4045,52,22.4,24.3,0.0075,,
0.4130,53,23.3,24.3,0.0085,,
0.4205,54,24.1,24.3,0.0075,,
0.4290,55,25.1,24.3,0.0085,,
0.4375,56,26.1,24.3,0.0075,,
0.4455,57,26.9,24.3,0.0075,,
0.4540,58,27.9,24.3,0.0075,,
0.4615,59,28.7,24.3,0.0075,,
0.4700,60,29.6,24.3,0.0085,,
0.4785,61,30.5,24.3,0.0075,,
0.4870,62,31.4,24.3,0.0075,,
0.4955,63,32.2,24.3,0.0075,,
0.5040,64,33.0,24.3,0.0075,,
0.5115,65,33.8,24.3,0.0075,,
0.5200,66,34.6,24.3,0.0085,,
0.5285,67,35.7,24.3,0.0075,,
0.5365,68,36.4,24.3,0.0075,,
0.5450,69,37.2,24.3,0.0075,,
0.5535,70,38.1,24.3,0.0085,,
0.5610,71,38.9,24.3,0.0075,,
0.5695,72,39.9,24.3,0.0085,,
0.5780,73,40.6,24.3,0.0075,,
0.5865,74,41.4,24.3,0.0075,,
0.5950,75,42.2,24.3,0.0075,,
0.6030,76,43.0,24.3,0.0075,,
0.6110,77,43.9,24.3,0.0080,,
0.6190,78,44.8,24.3,0.0080,,
0.6275,79,45.6,24.3,0.0075,,
0.6360,80,46.4,24.3,0.0075,,
0.6445,81,47.3,24.3,0.0075,,
0.6530,82,48.0,24.3,0.0085,,
0.6605,83,48.7,24.3,0.0075,,
0.6690,84,49.6,24.3,0.0085,,
0.6775,85,50.5,24.3,0.0075,,
0.6860,86,51.4,24.3,0.0075,,
0.6940,87,52.3,24.3,0.0075,,
0.7020,88,52.9,24.3,0.0080,,
0.7100,89,53.7,24.3,0.0080,,
0.7185,90,54.5,24.3,0.0085,,
0.7270,91,55.4,24.3,0.0075,,
0.7355,92,56.3,24.3,0.0075,,
0.7440,93,57.0,24.3,0.0075,,
0.7515,94,57.8,24.3,0.0075,,
0.7600,95,58.7,24.3,0.0085,,
0.7685,96,59.8,24.3,0.0085,,
0.7765,97,60.6,24.3,0.0075,,
0.7850,98,61.5,24.3,0.0075,,
0.7935,99,62.3,24.3,0.0075,,
0.8010,100,63.1,24.3,0.0075,,
0.8095,101,64.0,24.3,0.0085,,
0.8180,102,64.8,24.3,0.0075,,
0.8265,103,65.7,24.3,0.0075,,
0.8350,104,66.7,24.3,0.0075,,
0.8435,105,67.5,24.3,0.0085,,
0.8510,106,68.3,24.3,0.0075,,
0.8595,107,69.4,24.3,0.0085,,
0.8680,108,70.2,24.3,0.0075,,
0.8760,109,71.1,24.3,0.0075,,
0.8845,110,72.0,24.3,0.0075,,
0.8930,111,72.8,24.3,0.0085,,
0.9005,112,73.8,24.3,0.0075,,
0.9090,113,75.2,24.3,0.0085,,
0.9175,114,76.5,24.3,0.0075,,
0.9260,115,77.5,24.3,0.0075,,
0.9345,116,78.7,24.3,0.0075,,
0.9420,117,79.6,24.3,0.0075,,
0.9505,118,80.6,24.3,0.0085,,
0.9585,119,81.7,24.3,0.0080,,
0.9670,120,82.9,24.3,0.0075,,
0.9755,121,84.2,24.3,0.0075,,
0.9840,122,85.6,24.3,0.0075,,
0.9925,123,86.6,24.3,0.0085,,
1.0000,124,87.8,24.3,0.0075,,
1.0085,125,89.3,24.3,0.0085,,
1.0170,126,90.6,24.3,0.0075,,
1.0250,127,92.0,24.3,0.0075,,
1.0335,128,93.3,24.3,0.0075,,
1.0415,129,94.7,24.3,0.0080,,
1.0495,130,96.7,24.3,0.0080,,
1.0580,131,98.5,24.3,0.0085,,
1.0665,132,100.1,24.3,0.0075,,
1.0750,133,101.9,24.3,0.0075,,
1.0835,134,103.5,24.3,0.0075,,
1.0920,135,105.1,24.3,0.0085,,
1.0995,136,107.7,24.3,0.0075,,
1.1080,137,109.9,24.3,0.0085,,
1.1160,138,111.8,24.3,0.0075,,
1.1245,139,113.8,24.3,0.0075,,
1.1330,140,116.6,24.3,0.0075,,
1.1405,141,119.1,24.3,0.0075,,
1.1490,142,122.0,24.3,0.0085,,
1.1575,143,124.9,24.3,0.0085,,
1.1660,144,128.0,24.3,0.0075,,
1.1745,145,131.4,24.3,0.0075,,
1.1830,146,135.1,24.3,0.0075,,
1.1905,147,138.1,24.3,0.0075,,
1.1990,148,142.2,24.3,0.0085,,
1.2070,149,145.7,24.3,0.0080,,
1.2155,150,149.6,24.3,0.0075,,
1.2240,151,153.2,24.3,0.0075,,
1.2325,152,156.8,24.3,0.0075,,
1.2400,153,159.9,24.3,0.0075,,
1.2485,154,163.0,24.3,0.0085,,
1.2570,155,166.2,24.3,0.0075,,
1.2655,156,169.2,24.3,0.0075,,
1.2735,157,171.4,24.3,0.0075,,
1.2820,158,174.1,24.3,0.0075,,
1.2895,159,176.2,24.3,0.0075,,
1.2980,160,178.1,24.3,0.0085,,
1.3065,161,180.1,24.3,0.0075,,
1.3150,162,182.0,24.3,0.0075,,
1.3235,163,183.7,24.3,0.0075,,
1.3320,164,185.0,24.3,0.0075,,
1.3320,404,187.6,24.3,0.0000,,
1.3325,405,187.6,24.3,0.0005,,
1.3340,406,187.6,24.3,0.0010,,
1.3365,407,187.7,24.3,0.0020,,
1.3405,408,188.2,24.3,0.0030,,
1.3470,409,189.0,24.3,0.0050,,
1.3555,410,190.2,24.3,0.0065,,
1.3630,411,191.3,24.3,0.0060,,
1.3715,412,192.3,24.3,0.0070,,
1.3800,413,193.4,24.3,0.0065,,
1.3885,414,194.5,24.3,0.0065,,
1.3965,415,195.7,24.3,0.0060,,
1.4050,416,196.6,24.3,0.0070,,
1.4125,417,197.6,24.3,0.0060,,
1.4210,418,198.5,24.3,0.0070,,
1.4295,419,199.6,24.3,0.0065,,
1.4380,420,200.4,24.3,0.0065,,
1.4465,421,201.4,24.3,0.0065,,
1.4550,422,202.0,24.3,0.0070,,
1.4625,423,202.8,24.3,0.0060,,
1.4710,424,203.6,24.3,0.0070,,
1.4795,425,204.4,24.3,0.0065,,
1.4875,426,205.1,24.3,0.0060,,
1.4960,427,205.9,24.3,0.0065,,
1.5035,428,206.5,24.3,0.0060,,
1.5120,429,207.2,24.3,0.0070,,
1.5205,430,207.8,24.3,0.0070,,
1.5290,431,208.4,24.3,0.0065,,
1.5375,432,209.1,24.3,0.0065,,
1.5460,433,209.7,24.3,0.0065,,
1.5535,434,210.3,24.3,0.0060,,
1.5620,435,210.9,24.3,0.0070,,
1.5700,436,211.5,24.3,0.0065,,
1.5785,437,212.1,24.3,0.0065,,
1.5870,438,212.6,24.3,0.0065,,
1.5955,439,213.2,24.3,0.0065,,
1.6030,440,213.7,24.3,0.0060,,
1.6115,441,214.2,24.3,0.0070,,
1.6200,442,214.7,24.3,0.0070,,
1.6285,443,215.2,24.3,0.0065,,
1.6370,444,215.7,24.3,0.0065,,
1.6450,445,216.2,24.3,0.0060,,
1.6525,446,216.7,24.3,0.0060,,
1.6610,447,217.2,24.3,0.0070,,
1.6695,448,217.6,24.3,0.0070,,
1.6780,449,218.1,24.3,0.0065,,
1.6865,450,218.4,24.3,0.0065,,
1.6950,451,218.9,24.3,0.0065,,
1.7025,452,219.2,24.3,0.0060,,
1.7110,453,219.7,24.3,0.0070,,
1.7195,454,220.1,24.3,0.0070,,
1.7275,455,220.6,24.3,0.0060,,
1.7360,456,221.0,24.3,0.0065,,
1.7445,457,221.3,24.3,0.0065,,
1.7520,458,221.7,24.3,0.0060,,
1.7605,459,222.2,24.3,0.0070,,
