Date,Tank,Treatment,Salinity,Temperature,pH,CO2,pCO2,HCO3,CO3,DIC,TA,Aragonite.Sat
20190121,20190121_1B,Elevated,28.31,12.036,6.970399782,211.7352019,4981.180599,1980.197995,10.39179751,2202.324994,2005.967559,0.16156715
20190121,20190121_2B,Elevated,28.43,11.809,6.918617364,239.2559505,5591.576758,1977.670527,9.159780093,2226.086258,2000.384148,0.142289304
20190121,20190121_3B,Ambient,28.46,12.027,7.649142017,41.89749824,986.2016992,1872.843229,47.07491461,1961.815642,1990.356735,0.731673295
20190121,20190121_4B,Ambient,28.44,11.859,7.630575232,43.39148193,1015.759552,1850.302788,44.24789657,1937.942166,1961.112651,0.687435761
20190121,20190121_5B,Oscillating,28.45,11.735,7.540534604,55.27075293,1288.766601,1909.874883,36.95119997,2002.096836,2002.056744,0.573865766
20190121,20190121_6B,Ambient,28.46,11.89,7.66368165,40.62577704,952.0726838,1871.459772,48.38269173,1960.468241,1992.237832,0.751710467
20190121,20190121_T0,Elevated,28.48,14.068,6.797667339,300.6856565,7548.685355,1988.769031,7.620553756,2297.075241,2007.502184,0.119175769
20190121,20190121_T1,Elevated,28.46,14.023,6.68416917,390.8212899,9796.856043,1987.859071,5.852037993,2384.532398,2002.134953,0.091509107
20190121,20190121_T2,Ambient,28.47,14.321,7.739384082,31.71938016,802.4918462,1845.342391,62.41918902,1939.480961,2000.444317,0.976988693
20190121,20190121_T3,Ambient,28.46,14.227,7.770704627,29.46712263,743.310132,1838.191873,66.56790598,1934.226901,2003.556079,1.041625141
20190124,20190124_heathstack,na,28.25,9.989,7.767990509,33.61703337,739.5183838,1872.221514,56.81316909,1962.651717,2013.977799,0.878646193
20190124,20190124_T0,Elevated,28.45,14.199,6.813606951,288.7040304,7276.066698,1986.411007,7.929803582,2283.044841,2005.917241,0.124073412
20190124,20190124_T0,Elevated,28.51,14.132,6.780646968,311.9780265,7849.034113,1987.866956,7.348246872,2307.193229,2005.917241,0.114933495
